; meta data at the top of the file ,,
; is skipped when preceded by ,,
; a semi-colon,,
timestamp,flow,temp
01/01/2000 00:00,1000,10
01/01/2000 01:00,1010,11
01/01/2000 03:00,1030,13
01/01/2000 04:00,1040,14
01/01/2000 05:00,1050,15
01/01/2000 06:00,1100,10
01/01/2000 02:00,1020,12
01/01/2000 07:00,1200,10
01/01/2000 08:00,1300,10
01/01/2000 09:00,1400,10
01/01/2000 10:00,1500,10
01/01/2000 11:00,1400,10
01/01/2000 12:00,1300,10
01/01/2000 13:00,1200,10
01/01/2000 14:00,1100,10
01/01/2000 15:00,1000,10
01/01/2000 16:00,1001,10
01/01/2000 17:00,1002,10
01/01/2000 18:00,1003,10
01/01/2000 19:00,1004,10
01/01/2000 20:00,1005,10
01/01/2000 21:00,1006,10
01/01/2000 22:00,1007,10
01/01/2000 23:00,1008,10
02/01/2000 00:00,1009,10
02/01/2000 01:00,1008,10
02/01/2000 02:00,1007,10
02/01/2000 03:00,1006,10
02/01/2000 04:00,1005,10
02/01/2000 05:00,1004,10
02/01/2000 06:00,1003,10
02/01/2000 07:00,1002,10
02/01/2000 08:00,1001,10
02/01/2000 09:00,1000,10
02/01/2000 10:00,1010,11
02/01/2000 11:00,1020,12
02/01/2000 12:00,1030,13
02/01/2000 13:00,1020,12
02/01/2000 14:00,1030,13
02/01/2000 15:00,1040,14
02/01/2000 16:00,1050,15
02/01/2000 17:00,1060,16
02/01/2000 18:00,1070,17
02/01/2000 19:00,1080,18
02/01/2000 20:00,1090,19
02/01/2000 21:00,1080,18
02/01/2000 22:00,1070,17
02/01/2000 23:00,1060,16
03/01/2000 00:00,1050,15
03/01/2000 01:00,1040,14
